Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1961","1961","tonnes","2000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1962","1962","tonnes","2000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1963","1963","tonnes","2000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1964","1964","tonnes","2000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1965","1965","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1966","1966","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1967","1967","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1968","1968","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1969","1969","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1970","1970","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1971","1971","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1972","1972","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1973","1973","tonnes","3100","*","Unofficial figure"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1974","1974","tonnes","3200","*","Unofficial figure"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1975","1975","tonnes","3300","*","Unofficial figure"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1976","1976","tonnes","3500","*","Unofficial figure"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1977","1977","tonnes","3500","*","Unofficial figure"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1978","1978","tonnes","3600","*","Unofficial figure"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1979","1979","tonnes","3600","*","Unofficial figure"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1980","1980","tonnes","3000","*","Unofficial figure"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1981","1981","tonnes","3000","*","Unofficial figure"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1982","1982","tonnes","3000","*","Unofficial figure"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1983","1983","tonnes","3000","*","Unofficial figure"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1984","1984","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1985","1985","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1986","1986","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1987","1987","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1988","1988","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1989","1989","tonnes","3000","F","FAO estimate"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1990","1990","tonnes","3244","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1991","1991","tonnes","4698","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1992","1992","tonnes","4580","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1993","1993","tonnes","4462","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1994","1994","tonnes","4343","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1995","1995","tonnes","4225","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1996","1996","tonnes","4107","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1997","1997","tonnes","3988","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1998","1998","tonnes","3870","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","1999","1999","tonnes","3752","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2000","2000","tonnes","3634","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2001","2001","tonnes","3515","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2002","2002","tonnes","3512","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2003","2003","tonnes","3380","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2004","2004","tonnes","3300","","Official data"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2005","2005","tonnes","2800","","Official data"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2006","2006","tonnes","3000","","Official data"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2007","2007","tonnes","2800","","Official data"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2008","2008","tonnes","2800","","Official data"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2009","2009","tonnes","2800","","Official data"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2010","2010","tonnes","2000","","Official data"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2011","2011","tonnes","2000","","Official data"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2012","2012","tonnes","2000","","Official data"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2013","2013","tonnes","2000","","Official data"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2014","2014","tonnes","1802","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2015","2015","tonnes","1697","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2016","2016","tonnes","1584","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","2","Afghanistan","5510","Production","1182","Honey, natural","2017","2017","tonnes","1470","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","3","Albania","5510","Production","1182","Honey, natural","1961","1961","tonnes","400","F","FAO estimate"
"QL","Livestock Primary","3","Albania","5510","Production","1182","Honey, natural","1962","1962","tonnes","400","F","FAO estimate"
